PLACE,GLOB_ID,RELATION,RELATED_PLACE,RELATED_GLOB_ID,RELATION_REMARKS,SOURCE,SOURCE_PAGE,,CHECKED?,
Kannapuram (),NR_12,Part Of,Kannur (Kingdom) (),GLOB_29_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Chaliyar  (),NR_13,Part Of,Kodungallur (Kingdom) (),GLOB_43_HUM_2,"Challij is indicated on the map as being part of ""the land of the Samoryn or the kingdom of Krangenoor (Kodungallur)."" This suggests that the kingdom of Krangenoor was conquered by the Samoryn (Zamorin or Samuthiri) or the King of Calicut (i.e. Kozhikode). The map also demarcates the Kingdom of Calicut as being separate from the Kingdom of Kodungallur. ","NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Vanneri (),NR_14,Part Of,Kodungallur (Kingdom) (),GLOB_43_HUM_2,"Vermenij is indicated on the map as being part of ""the land of the Samoryn or the kingdom of Krangenoor (Kodungallur)."" This suggests that the kingdom of Krangenoor was conquered by the Samoryn (Zamorin or Samuthiri) or the King of Calicut (i.e. Kozhikode). The map also demarcates the Kingdom of Calicut as being separate from the Kingdom of Kodungallur. ","NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Pallur (Thrissur) (),NR_15,Part Of,Kodungallur (Kingdom) (),GLOB_43_HUM_2,"Pallur is indicated on the map as being part of ""the land of the Samoryn or the kingdom of Krangenoor (Kodungallur)."" This suggests that the kingdom of Krangenoor was conquered by the Samoryn (Zamorin or Samuthiri) or the King of Calicut (i.e. Kozhikode). The map also demarcates the Kingdom of Calicut as being separate from the Kingdom of Kodungallur. ","NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Kalvathy (),NR_244,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Udayamperoor (),NR_17,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Pallippuram (Ernakulam) (),NR_18 ,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Karappuram (Region) (),GLOB_271_HUM_1,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,Generale Missiven vol. 6,698,,FALSE,checked
Calbara (),NR_20,Part Of,Kannur (Kingdom) (),GLOB_29_HUM_2,,NL-HaNA_4.VEL_881 De Kusten van Malabar En Koromandel 881.,,,FALSE,checked
Tanur (),GLOB2_1628,Part Of,Kodungallur (Kingdom) (),GLOB_43_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Dharmadam (),NR_25,Part Of,Kozhikode (kingdom) (),GLOB2_1010_HUM_1,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Azhikkal (),GLOB_176,Part Of,Kannur (Kingdom) (),GLOB_29_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Manapally (Vypin) (),NR_63,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,"According to the map, Manapally features within the borders of the ""landen van Cochim.""","NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Manjeshwaram (),NR_228,Part Of,Kannur (Kingdom) (),GLOB_29_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Kannur (VOC administered area) (),GLOB_29_HUM_1,Part Of,Kannur (Kingdom) (),GLOB_29_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Thalassery (),GLOB_461,Part Of,Kannur (Kingdom) (),GLOB_29_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Karappuram (Temple) (),GLOB_271_HUM_3,Part Of,Karappuram (Region) (),GLOB_271_HUM_1,,NL-HaNA_4.VEL_882.1 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.1 Blad 1.,,,FALSE,checked
Coutta  (),NR_8,Part Of,Kozhikode (kingdom) (),GLOB2_1010_HUM_1,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Kozhikode (European Settlement) (),GLOB2_1010_HUM_2,Part Of,Kozhikode (kingdom) (),GLOB2_1010_HUM_1,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Ponnani (European Settlement) (),GLOB_366_HUM_1,Part Of,Kodungallur (Kingdom) (),GLOB_43_HUM_2,"Ponnani (Pananie on the map) is indicated as being part of ""the land of the Samoryn or the kingdom of Krangenoor (Kodungallur)."" This suggests that the kingdom of Krangenoor was conquered by the Samoryn (Zamorin or Samuthiri) or the King of Calicut (i.e. Kozhikode). The map also demarcates the Kingdom of Calicut as being separate from the Kingdom of Kodungallur. ","NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Chetwayi (VOC administered area) (),GLOB_710_HUM_1,Part Of,Kodungallur (Kingdom) (),GLOB_43_HUM_2,"Chetwayi (Chetua on the map) is indicated as being part of ""the land of the Samoryn or the kingdom of Krangenoor (Kodungallur)."" This suggests that the kingdom of Krangenoor was conquered by the Samoryn (Zamorin or Samuthiri) or the King of Calicut (i.e. Kozhikode). The map also demarcates the Kingdom of Calicut as being separate from the Kingdom of Kodungallur. ","NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Kodungallur (VOC administered area) (),GLOB_43_HUM_1,Part Of,Kodungallur (Kingdom) (),GLOB_43_HUM_2,"Kodungallur (Crangenoor on the map) is indicated as being part of ""the land of the Samoryn or the kingdom of Krangenoor (Kodungallur)."" This suggests that the kingdom of Krangenoor was conquered by the Samoryn (Zamorin or Samuthiri) or the King of Calicut (i.e. Kozhikode). The map also demarcates the Kingdom of Calicut as being separate from the Kingdom of Kodungallur. ","NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Vypin Island (),GLOB_10_GEO_1,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Kleijn Aywike (),NR_23,Part Of,Kayamkulam (kingdom) (),GLOB_26_HUM_2,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Paroe (in het Land van den Samoryn) (),NR_106,Part Of,Kodungallur (Kingdom) (),GLOB_43_HUM_2,"This place is indicated as being part of ""the land of the Samoryn or the kingdom of Krangenoor [i.e. Kodungallur]"" on the map. This suggests that the kingdom of Kodungallur was conquered by the Samoryn (Zamorin or Samuthiri) or the King of Calicut. The map also demarcates the Kingdom of Calicut as being separate from the Kingdom of Kodungallur. ","NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
"St. Mary's Syro Malabar Church, Koratty ()",NR_238,Part Of,Kodungallur (Kingdom) (),GLOB_43_HUM_2,"""St: Maria Maijor"" on the map is indicated as being part of ""the land of the Samoryn or the kingdom of Krangenoor (Kodungallur)."" This suggests that the kingdom of Krangenoor was conquered by the Samoryn (Zamorin or Samuthiri) or the King of Calicut (i.e. Kozhikode). The map also demarcates the Kingdom of Calicut as being separate from the Kingdom of Kodungallur. ","NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Thrissur (),GLOB_110,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Malayattoor (),NR_239,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Cochin (VOC administered area) (),GLOB_299_HUM_1,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Pirakkad (VOC administered area) (),GLOB_200_HUM_2,Part Of,Kayamkulam (kingdom) (),GLOB_26_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Kayamkulam (VOC administered area) (),GLOB_26_HUM_1,Part Of,Kayamkulam (kingdom) (),GLOB_26_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Karunagappally (),GLOB_70,Part Of,Kayamkulam (kingdom) (),GLOB_26_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Kollam (VOC administered area) (),GLOB_38_HUM_3,Part Of,Travancore (Kingdom) (),GLOB_421_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
,,,,,,,,,FALSE,
Mukkad (),NR_123,Part Of,Kollam (kingdom) (),GLOB_38_HUM_1,"The place is shown to feature in ""'T Land van Coylang"" (the land of Kollam). ",NL-HaNA_4.VEL_882.1 Particuliere Kaart van een gedeelte der Kuste Malabaar of de strekking der riviere van Chettua tot Coijlang. 882.1 blad 1.,,,FALSE,checked
Aravila (),NR_160,Part Of,Kollam (kingdom) (),GLOB_38_HUM_1,"The place is shown to feature in ""'T Land van Coylang"" (the land of Kollam). ",NL-HaNA_4.VEL_882.1 Particuliere Kaart van een gedeelte der Kuste Malabaar of de strekking der riviere van Chettua tot Coijlang. 882.1 blad 1.,,,FALSE,checked
Poerioepe (),NR_124,Part Of,Kollam (kingdom) (),GLOB_38_HUM_1,"The place is shown to feature in ""'T Land van Coylang"" (the land of Kollam). ",NL-HaNA_4.VEL_882.1 Particuliere Kaart van een gedeelte der Kuste Malabaar of de strekking der riviere van Chettua tot Coijlang. 882.1 blad 1.,,,FALSE,checked
Thoppilkadavu (),NR_163,Part Of,Kollam (kingdom) (),GLOB_38_HUM_1,"The place is shown to feature in ""'T Land van Coylang"" (the land of Kollam). ",NL-HaNA_4.VEL_882.1 Particuliere Kaart van een gedeelte der Kuste Malabaar of de strekking der riviere van Chettua tot Coijlang. 882.1 blad 1.,,,FALSE,checked
Mulamkadakam (),NR_164,Part Of,Kollam (kingdom) (),GLOB_38_HUM_1,"The place is shown to feature on the border of the kingdom of Signatty near ""'t land van Coylang"" (the land of Kollam).",NL-HaNA_4.VEL_882.1 Particuliere Kaart van een gedeelte der Kuste Malabaar of de strekking der riviere van Chettua tot Coijlang. 882.1 blad 1.,,,FALSE,checked
Monkam (),NR_122,Part Of,Kollam (kingdom) (),GLOB_38_HUM_1,"The place is shown to feature on the border of the kingdom of Signatty near ""'t land van Coylang"" (the land of Kollam).",NL-HaNA_4.VEL_882.1 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.1 Blad 1.,,,FALSE,checked
Panavally (),NR_126,Part Of,Vaduthala (Island) (),NR_221_GEO_1,,NL-HaNA_4.VEL_882.1 Particuliere Kaart van een gedeelte der Kuste Malabaar of de strekking der riviere van Chettua tot Coijlang. 882.1 blad 1.,,,FALSE,checked
Panavally (Temple) (),NR_126_HUM_1,Part Of,Vaduthala (Island) (),NR_221_GEO_1,,NL-HaNA_4.VEL_882.1 Particuliere Kaart van een gedeelte der Kuste Malabaar of de strekking der riviere van Chettua tot Coijlang. 882.1 blad 1.,,,FALSE,checked
Pallipuram (Church) (),NR_22_HUM_1,Part Of,Vaduthala (Island) (),NR_221_GEO_1,,NL-HaNA_4.VEL_882.1 Particuliere Kaart van een gedeelte der Kuste Malabaar of de strekking der riviere van Chettua tot Coijlang. 882.1 blad 1.,,,FALSE,checked
Pallipuram (Temple) (),NR_22_HUM_2,Part Of,Vaduthala (Island) (),NR_221_GEO_1,,NL-HaNA_4.VEL_882.1 Particuliere Kaart van een gedeelte der Kuste Malabaar of de strekking der riviere van Chettua tot Coijlang. 882.1 blad 1.,,,FALSE,checked
Thaikkattussery (),NR_128,Part Of,Vaduthala (Island) (),NR_221_GEO_1,,NL-HaNA_4.VEL_882.1 Particuliere Kaart van een gedeelte der Kuste Malabaar of de strekking der riviere van Chettua tot Coijlang. 882.1 blad 1.,,,FALSE,checked
Thiruvanchikulam (Temple) (),NR_200_HUM_1,Part Of,Kodungallur (Kingdom) (),GLOB_43_HUM_2,"The place in question is shown to be part of the ""landen van den Koning van Cranganoor."" ",NL-HaNA_4.VEL_884 Particuliere Caart van Een Gedeelte van de Mallabaar of de Strekking Der Riviers van Chettua Tot Coylang.,,,FALSE,checked
Anapuzha (),NR_201,Part Of,Kodungallur (Kingdom) (),GLOB_43_HUM_2,"The place in question is shown to be part of the ""landen van den Koning van Cranganoor."" ",NL-HaNA_4.VEL_884 Particuliere Caart van Een Gedeelte van de Mallabaar of de Strekking Der Riviers van Chettua Tot Coylang.,,,FALSE,checked
Mattancherry (),NR_68,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,"The place in question is shown to be part of the ""landen van den Koning van Cochim."" ",NL-HaNA_4.VEL_884 Particuliere Caart van Een Gedeelte van de Mallabaar of de Strekking Der Riviers van Chettua Tot Coylang.,,,FALSE,checked
Palluruthy (Church) (),NR_77_HUM_1,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,"The place in question is shown to be part of the ""landen van den Koning van Cochim."" ",NL-HaNA_4.VEL_884 Particuliere Caart van Een Gedeelte van de Mallabaar of de Strekking Der Riviers van Chettua Tot Coylang.,,,FALSE,checked
Tanairemoekan (),NR_90,Part Of,Kayamkulam (kingdom) (),GLOB_26_HUM_2,"The place in question is shown to be part of ""'t land van Calicoylang."" ",NL-HaNA_4.VEL_884 Particuliere Caart van Een Gedeelte van de Mallabaar of de Strekking Der Riviers van Chettua Tot Coylang.,,,FALSE,checked
Anchuthengu (),GLOB_7,Part Of,Travancore (Kingdom) (),GLOB_421_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Travancore (European Settlement) (),GLOB_421_HUM_1,Part Of,Travancore (Kingdom) (),GLOB_421_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Valiyathura (),NR_252,Part Of,Travancore (Kingdom) (),GLOB_421_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE,checked
Thiruvanchikulam (),NR_200,Part Of,Kodungallur (Kingdom) (),GLOB_43_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Chakkarakadavu (),NR_65,Part Of,Vypin Island (),GLOB_10_GEO_1,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Manapally (Vypin) (),NR_63,Part Of,Vypin Island (),GLOB_10_GEO_1,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Panayakulangara (),NR_241,Part Of,Chetwayi (Principality) (),GLOB_710_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Chelodi (),NR_31,Part Of,Chetwayi (Principality) (),GLOB_710_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Talikkulam (),NR_30,Part Of,Chetwayi (Principality) (),GLOB_710_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Triprayar  (),NR_33,Part Of,Chetwayi (Principality) (),GLOB_710_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Manakkodam (),GLOB_394,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE,checked
Manakkodam (Guard post) (),GLOB_394_HUM_1,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,NL-HaNA_4.VEL_882.1 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.1 Blad 1.,,,FALSE,checked
Kuzhuppilly (),NR_66,Part Of,Vypin Island (),GLOB_10_GEO_1,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Manielle (Temple) (),NR_211_HUM_1,Part Of,Vypin Island (),GLOB_10_GEO_1,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Moendichery (),NR_75,Part Of,Vypin Island (),GLOB_10_GEO_1,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Toelampikatoe (),NR_180,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Padiyam (),NR_38,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Mambilly (),NR_177,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Peringottukara (),NR_34,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Thanniyam (),NR_39,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Kizhuppillikkara (),NR_184,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Drie Bokerons (),NR_46,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Kattur (Thrissur) (),NR_95,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Edathirinji (),NR_43,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Kakkathiruthy (Thrissur) (),NR_45,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Chathanad (Village) (),NR_67_HUM_1,Part Of,Paravur (Kingdom) (),NR_105_HUM_1,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Chathanad (Fortification) (),NR_67_HUM_2,Part Of,Travancore (Kingdom) (),GLOB_421_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Varappuzha (),GLOB_358,Part Of,Paravur (Kingdom) (),NR_105_HUM_1,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
Thamaravattom (Island) (),NR_212_GEO_1,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,FALSE,checked
