EXISTING_PLACE,EXISTING_ID,GLOB_ID,PREF_LABEL,PREF_LABEL_SOURCE,PREF_LABEL_SOURCE_PAGE,PREF_LABEL_REMARKS,PREF_LABEL_REMARKS_SOURCE,PREF_LABEL_REMARKS_SOURCE_PAGE,LATITUDE,LONGITUDE,COORD_CERTAINTY,COORD_SOURCE,COORD_SOURCE_PAGE,COORD_REMARKS,COORD_REMARKS_SOURCE,COORD_REMARKS_SOURCE_PAGE,CCODES,WHG_ID,GEONAMES_ID,TGN_ID,WIKIDATA_ID,AMH_ID,EXTERNAL_IDS,OVERALL_REMARKS,OVERALL_SOURCE,OVERALL_SOURCE_PAGE,,CHECKED?,TEST_LAT,TEST_LONG,TEST_GN,TEST_WHG,EXTERNAL_ID,TEST_AMH,
,,NR_8,Coutta ,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,,,11.23333,75.76667,uncertain,GeoNames (GN),https://www.geonames.org/1273832/coote-reef.html,"The coordinates of a GeoNames ID called 'Coote Reef' are used here because of the similarities in the name and location of this place with those of the place 'Coutta' on the map. However, it is uncertain they are the same place.",,,India,,https://www.geonames.org/1273832/coote-reef.html,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_9 ,Nadakkavu,GeoNames (GN),https://www.geonames.org/10929659/nadakkavu.html,,,,11.27081,75.77639,certain,GeoNames (GN),https://www.geonames.org/10929659/nadakkavu.html,,,,India,,https://www.geonames.org/10929659/nadakkavu.html,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_2_HUM_1,Tennepatnam (Port city),"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,,,,,,,,,,,India,,,,,,,"Based on the early modern maps, this place was located in Kannur's proximity, near a coastal river mouth to the south of Kannur.","""NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde."", ""NL-HaNA_4.MIKO_W23 Kaart van Ceylon, de Zuidkust van India (Mallabar En Cormandel) En de Maldiven.""",,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_11,Munderi,GeoNames (GN),https://www.geonames.org/10892322/munderi.html,,,,12.02633,75.40541,uncertain,GeoNames (GN),https://www.geonames.org/10892322/munderi.html,,,,India,,https://www.geonames.org/10892322/munderi.html,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_12,Kannapuram,GeoNames (GN),https://www.geonames.org/10910171/kannapuram.html,,,,11.98434,75.30414,certain,GeoNames (GN),https://www.geonames.org/10910171/kannapuram.html,,,,India,,https://www.geonames.org/10910171/kannapuram.html,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_3_HUM_1,Balussery (VOC administered area),Wikidata,https://www.wikidata.org/wiki/Q4853091,,,,11.45,75.83,uncertain,Wikidata,https://www.wikidata.org/wiki/Q4853091,,,,India,,https://www.geonames.org/1277505/balussheri.html,,https://www.wikidata.org/wiki/Q4853091,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_13,Chaliyar ,GeoNames (GN),https://www.geonames.org/1274867/chaliyar.html,,,,11.15,75.81667,certain,GeoNames (GN),https://www.geonames.org/1274867/chaliyar.html,,,,India,,https://www.geonames.org/1274867/chaliyar.html,,https://www.wikidata.org/wiki/Q15208881,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_7_GEO_1,Trentpatnam (River),"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,,,,,,,,,,,India,,,,,,,"M. O. Koshy's The Dutch Power in Kerala mentions this place: ""The island [of Dharmapattanam] was of strategic importance to the English since 'it is a Lock or Bar to the Rivers of Trintapatam, Bengatt Durmapatam and Codolee [...].'"" Based on Google Maps, these 3 rivers might be: Anjarakandy River (Ancharakkandi Puzha - GeoNames ID 8441801); Ummanchira River; Kuyyali River.",""" M. O. Koshy, The Dutch Power in Kerala, 1729-1758""",134,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_7_HUM_1,Trentpatnam (Manufacturing center),"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,,,,,,,,,,,India,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_14,Vanneri,Wikidata,https://www.wikidata.org/wiki/Q101200100,,,,10.69329,75.988751,certain,Wikidata,https://www.wikidata.org/wiki/Q101200100,,,,India,,,,https://www.wikidata.org/wiki/Q101200100,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_15,Pallur (Thrissur),GeoNames (GN),https://www.geonames.org/11462360/pallur.html,,,,10.75916,76.23184,uncertain,GeoNames (GN),https://www.geonames.org/11462360/pallur.html,,,,India,,https://www.geonames.org/11462360/pallur.html,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_8_HUM_1,Coutta (Manufacturing center),"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,,,11.23333,75.76667,uncertain,GeoNames (GN),https://www.geonames.org/1273832/coote-reef.html,"The coordinates of a GeoNames ID called 'Coote Reef' are used here because of the similarities in the name and location of this place with those of the place 'Coutta' on the map. However, it is uncertain they are the same place.",,,India,,https://www.geonames.org/1273832/coote-reef.html,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_16,Chettikkad,Wikidata,https://www.wikidata.org/wiki/Q101191540,,,,10.17949,76.19001,certain,GeoNames (GN),https://www.geonames.org/11461767/chettikad.html,,,,India,,https://www.geonames.org/11461767/chettikad.html,,https://www.wikidata.org/wiki/Q101191540,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_17,Udayamperoor,GeoNames (GN),https://www.geonames.org/11184323/udayamperoor.html,,,,9.89585,76.36824,certain,GeoNames (GN),https://www.geonames.org/11184323/udayamperoor.html,,,,India,,https://www.geonames.org/11184323/udayamperoor.html,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_18 ,Pallippuram (Ernakulam),GeoNames (GN),https://www.geonames.org/1260679/pallippuram.html,,,,10.15082,76.18958,certain,GeoNames (GN),https://www.geonames.org/1260679/pallippuram.html,,,,India,,https://www.geonames.org/1260679/pallippuram.html,,,,,[DISAMBIGUATION] Not to be confused with Pallipuram on the Vaduthala island in Alappuzha district.,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_16_GEO_1,Chettikkad (Island),Wikidata,https://www.wikidata.org/wiki/Q101191540,,,,10.17949,76.19001,uncertain,GeoNames (GN),https://www.geonames.org/11461767/chettikad.html,,,,India,,https://www.geonames.org/11461767/chettikad.html,,https://www.wikidata.org/wiki/Q101191540,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
Karappuram (Caraporam|Carporam|Ellertaswaropam|Ellertaswaropoam|Mutan|Muttam),GLOB_271,GLOB_271,Karappuram," M. O. Koshy, The Dutch Power in Kerala, 1729-1758",xi,,,,9.68444,76.33558,uncertain,GeoNames (GN),https://geonames.org/10792588,"[INFERENCE] The coordinates of Cherthala (Shertallay) are used here as an inference for Karappuram. Based on a map provided by M. O. Koshy, Shertallay was located roughly at the center of Mouton (=Karappuram).",""" M. O. Koshy, The Dutch Power in Kerala, 1729-1758""",xiii,India,,https://geonames.org/10792588,,https://www.wikidata.org/wiki/Q101580627,,,"[CONTEXT] GM 6:698 ""Karappuram or Mutan, also Ellertaswaroopam, a region belonging to Cochin, which extends with a narrow width from about 9°50' to 9°20' N.""",Generale Missiven vol. 6,698,,FALSE,9.68444,76.33558,https://geonames.org/10792588,,,,checked
,,NR_22,Pallipuram (Alappuzha),GeoNames (GN),https://www.geonames.org/12639820/pallipuram.html,,,,9.75502,76.35724,certain,GeoNames (GN),https://www.geonames.org/12639820/pallipuram.html,,,,India,,https://www.geonames.org/12639820/pallipuram.html,,,,,[DISAMBIGUATION] Not to be confused with Pallipuram/Palliport in Ernakulam district.,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,GLOB_271_HUM_1,Karappuram (Region)," M. O. Koshy, The Dutch Power in Kerala, 1729-1758",xi,,,,9.68444,76.33558,uncertain,GeoNames (GN),https://geonames.org/10792588,"[INFERENCE] The coordinates of Cherthala (Shertallay) are used here as an inference for Karappuram. Based on a map provided by M. O. Koshy, Shertallay was located roughly at the center of Mouton (=Karappuram).",""" M. O. Koshy, The Dutch Power in Kerala, 1729-1758""",xiii,India,,https://geonames.org/10792588,,https://www.wikidata.org/wiki/Q101580627,,,"[CONTEXT] GM 6:698 ""Karappuram or Mutan, also Ellertaswaroopam, a region belonging to Cochin, which extends with a narrow width from about 9°50' to 9°20' N.""",Generale Missiven vol. 6,698,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,GLOB_271_HUM_2,Karappuram (Bazaar)," M. O. Koshy, The Dutch Power in Kerala, 1729-1758",xi,,,,9.68444,76.33558,uncertain,GeoNames (GN),https://geonames.org/10792588,"[INFERENCE] The coordinates of Cherthala (Shertallay) are used here as an inference for Karappuram. Based on a map provided by M. O. Koshy, Shertallay was located roughly at the center of Mouton (=Karappuram).",""" M. O. Koshy, The Dutch Power in Kerala, 1729-1758""",xiii,India,,https://geonames.org/10792588,,https://www.wikidata.org/wiki/Q101580627,,,"[CONTEXT] GM 6:698 ""Karappuram or Mutan, also Ellertaswaroopam, a region belonging to Cochin, which extends with a narrow width from about 9°50' to 9°20' N.""",Generale Missiven vol. 6,698,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,GLOB_271_HUM_3,Karappuram (Temple)," M. O. Koshy, The Dutch Power in Kerala, 1729-1758",xi,,,,9.68444,76.33558,uncertain,GeoNames (GN),https://geonames.org/10792588,"[INFERENCE] The coordinates of Cherthala (Shertallay) are used here as an inference for Karappuram. Based on a map provided by M. O. Koshy, Shertallay was located roughly at the center of Mouton (=Karappuram).",""" M. O. Koshy, The Dutch Power in Kerala, 1729-1758""",xiii,India,,https://geonames.org/10792588,,https://www.wikidata.org/wiki/Q101580627,,,"[CONTEXT] GM 6:698 ""Karappuram or Mutan, also Ellertaswaroopam, a region belonging to Cochin, which extends with a narrow width from about 9°50' to 9°20' N.""",Generale Missiven vol. 6,698,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_51,Pariniatoetoertoe,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,,,10.308119,76.185031,uncertain,Wikidata,https://www.wikidata.org/wiki/Q101194783,"[INFERENCE] Based on a comparison between the early modern map and present-day Google Maps, this place seems to be the same as what is today Padiyoor Mazhuvanchery Thuruth, located in present-day Padiyoor (Thrissur district). The coordinates of Padiyoor have been selected here as an inference.",NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,India,,,,https://www.wikidata.org/wiki/Q101194783,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_41_HUM_1,Valapad (Bazaar),Wikidata,https://www.wikidata.org/wiki/Q7909257,,,,10.398333,76.091667,certain,Wikidata,https://www.wikidata.org/wiki/Q7909257,,,,India,,,,https://www.wikidata.org/wiki/Q7909257,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_36_HUM_1,Toyakkavu (Tollhouse),GeoNames (GN),https://www.geonames.org/11462977/toyakkavu.html,,,,10.50853,76.07943,uncertain,GeoNames (GN),https://www.geonames.org/11462977/toyakkavu.html,,,,India,,https://www.geonames.org/11462977/toyakkavu.html,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_35_HUM_1,Muttichur (Tollhouse),Wikidata,https://www.wikidata.org/wiki/Q101128985,,,,10.4526,76.103,uncertain,GeoNames (GN),https://www.geonames.org/13353481/padiyam.html,"[INFERENCE] The creators of this dataset have not found the exact coordinates of Muttichur on GeoNames, Wikidata or Getty. Hence, the coordinates of Padiyam, a nearby place, have been selected here as an inference for Muttichur.",,,India,,https://www.geonames.org/13353481/padiyam.html,,https://www.wikidata.org/wiki/Q101128985,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_20,Calbara,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,,,,,,,,,,,India,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_33_HUM_1,Triprayar (Temple),Wikidata,https://www.wikidata.org/wiki/Q7843766,,,,10.416667,76.083333,uncertain,Wikidata,https://www.wikidata.org/wiki/Q7843766,,,,India,,,,https://www.wikidata.org/wiki/Q7843766,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
Tanur (),GLOB2_1628,GLOB2_1628,Tanniyurnagaram ,GeoNames (GN),https://www.geonames.org/1254952/tanniyurnagaram.html,,,,10.98317,75.869,certain,GeoNames (GN),https://www.geonames.org/1254952/tanniyurnagaram.html,,,,India,,https://www.geonames.org/1254952/tanniyurnagaram.html,,,,,"The entry on Tanur in the Mallabars Woordenboek reads, ""Bettette alias Tannoor een rijkje geleegen in de landen van den Sammorijn tussen Calicoet en Pananij 3 mijln van de eerste, en 5 dos van de laatste plaats, is vermaart wegens de adoptie die de Portugeesen gedaan hebben van Godorma Prince van Bettette in het Cochinse Rijk ten tijde van onse komste te desen cust. Het is een hoogen bergagtig land, de inwoonders hebben een sterke vaart of Jaffana en Goa..."" [Necessary Reunions Translation] Bettette, also known as Tannoor, a small kingdom located in the lands of Sammorijn between Calicoet and Pananij, 3 miles from the former and 5 miles from the latter, is famous for the adoption by the Portuguese of Godorma Prince of Bettette in the Cochin kingdom at the time of our [reference to the VOC] arrival in this region. It is a high mountainous country, the inhabitants have a strong trade with Jaffana and Goa... ",Een Mallabars Woordenboek,https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_2601_0386,,FALSE,,,,,,,checked
,,NR_23,Kleijn Aywike,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,,,8.94865,76.55091,uncertain,GeoNames (GN),https://www.geonames.org/11501999/dalavapuram.html,"[INFERENCE] Based on the early modern map, this place was located close to 'Talawapoere' (presently Dalavapuram), so the coordinates of Dalavapuram have been selected here as an inference.",,,India,,https://www.geonames.org/11501999/dalavapuram.html,,,,,"The entry on Kleijn Aywike in the Mallabars Woordenboek (1744) reads, ""Klijn Aijwika een Comps: post...1 mijl van Coilan, alwaar een revier in zeevalt, die in den drogen tijd niet meer als 2 a 3 voeten water heeft. [Necessary Reunions Translation] Klijn Aijwika a Company post...1 mile from Coilan [Kollam], where a river flows into the sea, which in dry weather has no more than 2 to 3 feet of water. ",Een Mallabars Woordenboek,https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_2601_0374,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_23_HUM_1,Kleijn Aywike (VOC administered area),"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,,,8.94865,76.55091,uncertain,GeoNames (GN),https://www.geonames.org/11501999/dalavapuram.html,"[INFERENCE] Based on the early modern map, this place was located close to 'Talawapoere' (presently Dalavapuram), so the coordinates of Dalavapuram have been selected here as an inference.",,,India,,https://www.geonames.org/11501999/dalavapuram.html,,,,,"The entry on Kleijn Aywike in the Mallabars Woordenboek (1744) reads, ""Klijn Aijwika een Comps: post...1 mijl van Coilan, alwaar een revier in zeevalt, die in den drogen tijd niet meer als 2 a 3 voeten water heeft. [Necessary Reunions Translation] Klijn Aijwika a Company post...1 mile from Coilan [Kollam], where a river flows into the sea, which in dry weather has no more than 2 to 3 feet of water. ",Een Mallabars Woordenboek,https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_2601_0374,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_23_HUM_2,Kleijn Aywike (Church),"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,,,8.94865,76.55091,uncertain,GeoNames (GN),https://www.geonames.org/11501999/dalavapuram.html,"[INFERENCE] Based on the early modern map, this place was located close to 'Talawapoere' (presently Dalavapuram), so the coordinates of Dalavapuram have been selected here as an inference.",,,India,,https://www.geonames.org/11501999/dalavapuram.html,,,,,"The entry on Kleijn Aywike in the Mallabars Woordenboek (1744) reads, ""Klijn Aijwika een Comps: post...1 mijl van Coilan, alwaar een revier in zeevalt, die in den drogen tijd niet meer als 2 a 3 voeten water heeft. [Necessary Reunions Translation] Klijn Aijwika a Company post...1 mile from Coilan [Kollam], where a river flows into the sea, which in dry weather has no more than 2 to 3 feet of water. ",Een Mallabars Woordenboek,https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_2601_0374,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_24,Cheriyazheekal,Wikidata,https://www.wikidata.org/wiki/Q71536337,,,,9.05,76.5,certain,Wikidata,https://www.wikidata.org/wiki/Q71536337,,,,India,,,,https://www.wikidata.org/wiki/Q71536337,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_24_HUM_1,Cheriyazheekal (Temple),Wikidata,https://www.wikidata.org/wiki/Q71536337,,,,9.05,76.5,uncertain,Wikidata,https://www.wikidata.org/wiki/Q71536337,,,,India,,,,https://www.wikidata.org/wiki/Q71536337,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_24_GEO_1,Cheriyazheekal (Island),Wikidata,https://www.wikidata.org/wiki/Q71536337,,,,9.05,76.5,uncertain,Wikidata,https://www.wikidata.org/wiki/Q71536337,,,,India,,,,https://www.wikidata.org/wiki/Q71536337,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
Aywika (Azhi Mukam),GLOB_528,GLOB_528,Azheekal (Kollam),Wikidata,https://www.wikidata.org/wiki/Q18110004,,,,9.13704,76.46495,uncertain,Wikidata,https://www.wikidata.org/wiki/Q120972913,"[INFERENCE] The creators of this dataset have not found the exact coordinates of Azheekal in Kollam district on GeoNames, Wikidata or Getty. Hence, the coordinates of Valiyazheekkal, a nearby bridge, have been selected here as an inference for Azheekal.",,,India,,,,https://www.wikidata.org/wiki/Q18110004,,,"[DISAMBIGUATION] 18th-century maps of the Malabar Coast show that there were 3 places labeled as 'Aijwika' or 'Aijwike': a VOC wacht post Groot Aijwika/Aijwieke; a 'pagood' (temple) Cheria Aijwika/Tjerri Aijwike; and a 'kerk' (church) Kleijn Aijwike. The location of present-day Azheekal is most similar to the VOC wacht post Groot Aijwika. Hence, this entry refers specifically to Groot Aijwika.",Grote Atlas vol. 6,204|213,,FALSE,9.07916,76.49162,https://geonames.org/11185787,,,,checked
,,GLOB_528_HUM_1,Azheekal (Guard Post),Wikidata,https://www.wikidata.org/wiki/Q18110004,,,,9.13704,76.46495,uncertain,Wikidata,https://www.wikidata.org/wiki/Q120972913,"[INFERENCE] The creators of this dataset have not found the exact coordinates of Azheekal in Kollam district on GeoNames, Wikidata or Getty. Hence, the coordinates of Valiyazheekkal, a nearby bridge, have been selected here as an inference for Azheekal.",,,India,,,,https://www.wikidata.org/wiki/Q18110004,,,"[DISAMBIGUATION] 18th-century maps of the Malabar Coast show that there were 3 places labeled as 'Aijwika' or 'Aijwike': a VOC wacht post Groot Aijwika/Aijwieke; a 'pagood' (temple) Cheria Aijwika/Tjerri Aijwike; and a 'kerk' (church) Kleijn Aijwike. The location of present-day Azheekal is most similar to the VOC wacht post Groot Aijwika. Hence, this entry refers specifically to Groot Aijwika.",Grote Atlas vol. 6,204|213,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_25,Dharmadam,GeoNames (GN),https://www.geonames.org/1272856/dharmadam.html,,,,11.77538,75.46459,certain,GeoNames (GN),https://www.geonames.org/1272856/dharmadam.html,,,,India,,https://www.geonames.org/1272856/dharmadam.html,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
