EXISTING_PLACE,EXISTING_ID,GLOB_ID,PREF_LABEL,PREF_LABEL_SOURCE,PREF_LABEL_SOURCE_PAGE,PREF_LABEL_REMARKS,PREF_LABEL_REMARKS_SOURCE,PREF_LABEL_REMARKS_SOURCE_PAGE,LATITUDE,LONGITUDE,COORD_CERTAINTY,COORD_SOURCE,COORD_SOURCE_PAGE,COORD_REMARKS,COORD_REMARKS_SOURCE,COORD_REMARKS_SOURCE_PAGE,CCODES,WHG_ID,GEONAMES_ID,TGN_ID,WIKIDATA_ID,AMH_ID,EXTERNAL_IDS,OVERALL_REMARKS,OVERALL_SOURCE,OVERALL_SOURCE_PAGE,,CHECKED?,TEST_LAT,TEST_LONG,TEST_GN,TEST_WHG,EXTERNAL_ID,TEST_AMH,
Nadakkavu (),NR_9 ,NR_9 ,Nadakkavu,GeoNames (GN),https://www.geonames.org/10929659/nadakkavu.html,,,,11.27081,75.77639,certain,GeoNames (GN),https://www.geonames.org/10929659/nadakkavu.html,,,,India,,https://www.geonames.org/10929659/nadakkavu.html,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Munderi (),NR_11,NR_11,Munderi,GeoNames (GN),https://www.geonames.org/10892322/munderi.html,,,,12.02633,75.40541,uncertain,GeoNames (GN),https://www.geonames.org/10892322/munderi.html,,,,India,,https://www.geonames.org/10892322/munderi.html,,,,,,,,,FALSE,,,,,,,
Kannapuram (),NR_12,NR_12,Kannapuram,GeoNames (GN),https://www.geonames.org/10910171/kannapuram.html,,,,11.98434,75.30414,certain,GeoNames (GN),https://www.geonames.org/10910171/kannapuram.html,,,,India,,https://www.geonames.org/10910171/kannapuram.html,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Chaliyar  (),NR_13,NR_13,Chaliyar ,GeoNames (GN),https://www.geonames.org/1274867/chaliyar.html,,,,11.15,75.81667,certain,GeoNames (GN),https://www.geonames.org/1274867/chaliyar.html,,,,India,,https://www.geonames.org/1274867/chaliyar.html,,https://www.wikidata.org/wiki/Q15208881,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Vanneri (),NR_14,NR_14,Vanneri,Wikidata,https://www.wikidata.org/wiki/Q101200100,,,,10.69329,75.988751,certain,Wikidata,https://www.wikidata.org/wiki/Q101200100,,,,India,,,,https://www.wikidata.org/wiki/Q101200100,,,,,,,FALSE,,,,,,,
Pallur (),NR_15,NR_15,Pallur,GeoNames (GN),https://www.geonames.org/11462360/pallur.html,,,,10.75916,76.23184,certain,GeoNames (GN),https://www.geonames.org/11462360/pallur.html,,,,India,,https://www.geonames.org/11462360/pallur.html,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Chettikkad (),NR_16,NR_16,Chettikkad,GeoNames (GN),https://www.geonames.org/11461767/chettikad.html,,,,10.17949,76.19001,certain,GeoNames (GN),https://www.geonames.org/11461767/chettikad.html,,,,India,,https://www.geonames.org/11461767/chettikad.html,,https://www.wikidata.org/wiki/Q101191540,,,,,,,FALSE,,,,,,,
Udayamperoor (),NR_17,NR_17,Udayamperoor,GeoNames (GN),https://www.geonames.org/11184323/udayamperoor.html,,,,9.89585,76.36824,certain,GeoNames (GN),https://www.geonames.org/11184323/udayamperoor.html,,,,India,,https://www.geonames.org/11184323/udayamperoor.html,,,,,,,,,FALSE,,,,,,,
Pallipuram (),NR_18 ,NR_18 ,Pallipuram,GeoNames (GN),https://www.geonames.org/1260679/pallippuram.html,,,,10.15082,76.18958,certain,GeoNames (GN),https://www.geonames.org/1260679/pallippuram.html,,,,India,,https://www.geonames.org/1260679/pallippuram.html,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Mattam (),NR_19,NR_19,Mattam," Dutch in malabar, PC Alexander,https://ia600106.us.archive.org/19/items/in.gov.ignca.2082/2082_text.pdf ",5,,,,9.24443,76.51907,certain,GeoNames (GN),https://www.geonames.org/11501596/mattam-tekku.html,,,,India,,https://www.geonames.org/11501596/mattam-tekku.html,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Calbara (),NR_20,NR_20,Calbara,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Tanur (),GLOB2_1628,,Tanniyurnagaram ,GeoNames (GN),https://www.geonames.org/1254952/tanniyurnagaram.html,,,,10.98317,75.869,certain,GeoNames (GN),https://www.geonames.org/1254952/tanniyurnagaram.html,,,,India,,https://www.geonames.org/1254952/tanniyurnagaram.html,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Dharmadam (),NR_25,NR_25,Dharmadam,GeoNames (GN),https://www.geonames.org/1272856/dharmadam.html,,,,11.77538,75.46459,certain,GeoNames (GN),https://www.geonames.org/1272856/dharmadam.html,,,,India,,https://www.geonames.org/1272856/dharmadam.html,,,,,,,,,FALSE,,,,,,,
Aywika (Azhi Mukam),GLOB_528,,Azheekal,Wikidata,https://www.wikidata.org/wiki/Q101139237,,,,9.083333,76.483333,uncertain,Wikidata,https://www.wikidata.org/wiki/Q4708337,"[INFERENCE] The creators of this dataset have not found the exact coordinates of Azheekal in Kollam district on GeoNames, Wikidata or Getty. Hence, the coordinates of Alappad, a nearby place, have been selected here as an inference for Azheekal.",,,India,,,,https://www.wikidata.org/wiki/Q101139237,,,,,,,FALSE,9.07916,76.49162,https://geonames.org/11185787,,,,
Manappally (Kollam) (),NR_27,NR_27,Manappally (Kollam),Wikidata,https://www.wikidata.org/wiki/Q16134467,,,,9.083333,76.533333,uncertain,Wikidata,https://www.wikidata.org/wiki/Q16134467,,,,India,,,,https://www.wikidata.org/wiki/Q16134467,,,,,,,FALSE,,,,,,,
Kovalam (),NR_28,NR_28,Kovalam,GeoNames (GN),https://www.geonames.org/1265896/kovalam.html,,,,8.36667,76.99667,certain,GeoNames (GN),https://www.geonames.org/1265896/kovalam.html,,,,India,,https://www.geonames.org/1265896/kovalam.html,,,,,,,,,FALSE,,,,,,,
Vadanappally (),NR_29,NR_29,Vadanappally,GeoNames (GN),https://www.geonames.org/13353550/vadanappally.html,,,,10.46905,76.08129,certain,GeoNames (GN),https://www.geonames.org/13353550/vadanappally.html,,,,India,,https://www.geonames.org/13353550/vadanappally.html,,,,,"een stuk land aan de kant van Chettua, gehoort
de E: Comp: en Zaijencherij naijro alwaar de sa„
maritaan gestrant is in a:o 1729.",,https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_2601_0411?query[fullText]=Castella&query[terms][invNr][]=2601&lastSearchResult=urn%3Aglobalise%3ANL-HaNA_1.04.02_2601_0394,,FALSE,,,,,,,
Talikkulam (),NR_30,NR_30,Talikkulam,GeoNames (GN),https://www.geonames.org/13353536/talikkulam.html,,,,10.44036,76.09483,certain,GeoNames (GN),https://www.geonames.org/13353536/talikkulam.html,,,,India,,https://www.geonames.org/13353536/talikkulam.html,,,,,,,,,FALSE,,,,,,,
Chelodi (),NR_31,NR_31,Chelodi,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,
Cherkara (),NR_32,NR_32,Cherkara,"Government of Kerala. (1961). Kerala Gazette: Part 4. Government Press. University of California (Original from). Digitized June 2, 2025.",490,,,,10.416667,76.083333,uncertain,Wikidata,https://www.wikidata.org/wiki/Q7843766,"[INFERENCE] The creators of this dataset have not found the exact coordinates of Cherkara on GeoNames, Wikidata or Getty. Hence, the coordinates of Triprayar, a nearby place, have been selected here as an inference for Cherkara.",,,India,,,,https://www.wikidata.org/wiki/Q7843766,,,,,,,FALSE,,,,,,,
Triprayar  (),NR_33,NR_33,Triprayar ,Wikidata,https://www.wikidata.org/wiki/Q7843766,,,,10.416667,76.083333,certain,Wikidata,https://www.wikidata.org/wiki/Q7843766,,,,India,,,,https://www.wikidata.org/wiki/Q7843766,,,,,,,FALSE,,,,,,,
Peringottukara (),NR_34,NR_34,Peringottukara,Wikidata,https://www.wikidata.org/wiki/Q7168594,,,,10.416667,76.083333,certain,Wikidata,https://www.wikidata.org/wiki/Q7168594,,,,India,,,,https://www.wikidata.org/wiki/Q7168594,,,,,,,FALSE,,,,,,,
Muttichur  (),NR_35,NR_35,Muttichur ,Wikidata,https://www.wikidata.org/wiki/Q101128985,,,,10.427431,76.1033,uncertain,Wikidata,https://www.wikidata.org/wiki/Q101194385,"[INFERENCE] The creators of this dataset have not found the exact coordinates of Muttichur on GeoNames, Wikidata or Getty. Hence, the coordinates of Nattika, a nearby place, have been selected here as an inference for Muttichur.",,,India,,,,https://www.wikidata.org/wiki/Q101128985,,,,,,,FALSE,,,,,,,
Toyakkavu (),NR_36,NR_36,Toyakkavu,GeoNames (GN),https://www.geonames.org/11462977/toyakkavu.html,,,,10.50853,76.07943,certain,GeoNames (GN),https://www.geonames.org/11462977/toyakkavu.html,,,,India,,https://www.geonames.org/11462977/toyakkavu.html,,,,,,,,,FALSE,,,,,,,
Eyland Entjajoe (),NR_37,NR_37,Eyland Entjajoe,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,,,10.50853,76.07943,uncertain,GeoNames (GN),https://www.geonames.org/11462977/toyakkavu.html,"[INFERENCE] The coordinates of Toyakkavu are used here as an inference for this island, because according to the map, 'Eyland Entjajoe' was situated right to the west of 'Dooijkauw' (i.e. Toyakkavu).","NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,,,,,,,,,,,FALSE,,,,,,,
Padiyam (),NR_38,NR_38,Padiyam,GeoNames (GN),https://www.geonames.org/13353481/padiyam.html,,,,10.4526,76.103,certain,GeoNames (GN),https://www.geonames.org/13353481/padiyam.html,,,,India,,https://www.geonames.org/13353481/padiyam.html,,,,,,,,,FALSE,,,,,,,
Thanniyam (),NR_39,NR_39,Thanniyam,GeoNames (GN),https://www.geonames.org/1254645/thanniyam.html,,,,10.41667,76.13333,certain,GeoNames (GN),https://www.geonames.org/1254645/thanniyam.html,,,,India,,https://www.geonames.org/1254645/thanniyam.html,,,,,,,,,FALSE,,,,,,,
Poelicarro (Pollicarro),GLOB_670,,Pulikkakadavu,Wikidata,https://www.wikidata.org/wiki/Q101194326,,,,10.520313,76.07057,certain,Wikidata,https://www.wikidata.org/wiki/Q101194326,,,,India,,,,https://www.wikidata.org/wiki/Q101194326,,,,,,,FALSE,,,,,,,
Palapetty (),NR_41,NR_41,Palapetty,Wikidata,https://www.wikidata.org/wiki/Q101194406,,,,10.365081,76.121081,certain,Wikidata,https://www.wikidata.org/wiki/Q101194406,,,,India,,,,https://www.wikidata.org/wiki/Q101194406,,,,,,,FALSE,,,,,,,
Chentrappinni (),NR_42,NR_42,Chentrappinni,Wikidata,https://www.wikidata.org/wiki/Q5091554,,,,10.355556,76.128056,certain,Wikidata,https://www.wikidata.org/wiki/Q5091554,,,,India,,,,https://www.wikidata.org/wiki/Q5091554,,,,,,,FALSE,,,,,,,
Edathirinji (),NR_43,NR_43,Edathirinji,Wikidata,https://www.wikidata.org/wiki/Q101194778,,,,10.34635,76.170511,certain,Wikidata,https://www.wikidata.org/wiki/Q101194778,,,,India,,,,https://www.wikidata.org/wiki/Q101194778,,,,,,,FALSE,,,,,,,
Mathilakam (),NR_44,NR_44,Mathilakam,Wikidata,https://www.wikidata.org/wiki/Q6787250,,,,10.290278,76.166667,certain,Wikidata,https://www.wikidata.org/wiki/Q6787250,,,,India,,,,https://www.wikidata.org/wiki/Q6787250,,,"een stuk land in het conqust Paponettij, alwaar 'sComp=s opsienders woonen",,https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_2601_0411?query[fullText]=Castella&query[terms][invNr][]=2601&lastSearchResult=urn%3Aglobalise%3ANL-HaNA_1.04.02_2601_0394,,FALSE,,,,,,,
Kakkathiruthy (),NR_45,NR_45,Kakkathiruthy,Wikidata,https://www.wikidata.org/wiki/Q101194898,,,,10.328789,76.153461,certain,Wikidata,https://www.wikidata.org/wiki/Q101194898,,,,India,,,,https://www.wikidata.org/wiki/Q101194898,,,[DISAMBIGUATION] Not to be confused with Kakkathuruth island in Alappuzha (https://www.wikidata.org/wiki/Q116692963).,,,,FALSE,,,,,,,
Moonupeedika (),NR_46,NR_46,Moonupeedika,Wikidata,https://www.wikidata.org/wiki/Q101194902,,,,10.32165,76.141089,uncertain,Wikidata,https://www.wikidata.org/wiki/Q101194902,,,,India,,,,https://www.wikidata.org/wiki/Q101194902,,,,,,,FALSE,,,,,,,
Kattur (Alappuzha) (),NR_47,NR_47,Kattur (Alappuzha),GeoNames (GN),https://www.geonames.org/11500789/kattur.html,,,,9.5705,76.31486,certain,GeoNames (GN),https://www.geonames.org/11500789/kattur.html,,,,India,,https://www.geonames.org/11500789/kattur.html,,https://www.wikidata.org/wiki/Q6378354,,,,,,,FALSE,,,,,,,
Edattirutti (),NR_48,NR_48,Edattirutti,GeoNames (GN),https://www.geonames.org/8442947/edattirutti.html,,,,10.36402,76.17373,certain,GeoNames (GN),https://www.geonames.org/8442947/edattirutti.html,,,,India,,https://www.geonames.org/8442947/edattirutti.html,,https://www.wikidata.org/wiki/Q5335716,,,,,,,FALSE,,,,,,,
Perinjanam (),NR_49,NR_49,Perinjanam,GeoNames (GN),https://www.geonames.org/13353522/perinjanam.html,,,,10.31328,76.14847,certain,GeoNames (GN),https://www.geonames.org/13353522/perinjanam.html,,,,India,,https://www.geonames.org/13353522/perinjanam.html,,https://www.wikidata.org/wiki/Q101129314,,,,,,,FALSE,,,,,,,
T Eijland Natoederetoe (),NR_50,NR_50,T Eijland Natoederetoe,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,,,10.29372,76.15835,uncertain,GeoNames (GN),https://www.geonames.org/13353499/pappinivattom.html,"[INFERENCE] Based on the early modern map, this island was located close to Paponetty (present-day Pappinivattom), so the coordinates of Pappinivattom have been selected here as an inference for the island.",NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,India,,https://www.geonames.org/13353499/pappinivattom.html,,,,,,,,,FALSE,,,,,,,
Eijland Pariniatoetoertoe (),NR_51,NR_51,Eijland Pariniatoetoertoe,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,,,10.29372,76.15835,uncertain,GeoNames (GN),https://www.geonames.org/13353499/pappinivattom.html,"[INFERENCE] Based on the early modern map, this island was located close to Paponetty (present-day Pappinivattom), so the coordinates of Pappinivattom have been selected here as an inference for the island.",NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,India,,https://www.geonames.org/13353499/pappinivattom.html,,,,,,,,,FALSE,,,,,,,
Palinjeri (),NR_40,NR_40,Palinjeri,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,
Poymanacodda (),NR_53,NR_53,Poymanacodda,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,
Kannamkulangara (),NR_54,NR_54,Kannamkulangara,Wikidata,https://www.wikidata.org/wiki/Q101429132,,,,10.506361,76.217528,certain,Wikidata,https://www.wikidata.org/wiki/Q101429132,,,,India,,,,https://www.wikidata.org/wiki/Q101429132,,,,,,,FALSE,,,,,,,
"Thruppekkulam, Temple ()",NR_55,NR_55,"Thruppekkulam, Temple",Wikidata,https://www.wikidata.org/wiki/Q61371436,,,,10.294546,76.254457,certain,Wikidata,https://www.wikidata.org/wiki/Q61371436,,,,India,,,,https://www.wikidata.org/wiki/Q61371436,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Pullut  (),NR_58,NR_58,Pullut ,GeoNames (GN),https://www.geonames.org/11463151/pullut.html,,,,10.24421,76.20844,certain,GeoNames (GN),https://www.geonames.org/11463151/pullut.html,,,,India,,https://www.geonames.org/11463151/pullut.html,,https://www.wikidata.org/wiki/Q20581496,,,,,,,FALSE,,,,,,,
Mannuthy (),NR_59,NR_59,Mannuthy,Wikidata,https://www.wikidata.org/wiki/Q6750962,,,,10.528889,76.2625,uncertain,Wikidata,https://www.wikidata.org/wiki/Q6750962,,,,India,,,,https://www.wikidata.org/wiki/Q6750962,,,,,,,FALSE,,,,,,,
Talecare (),NR_60,NR_60,Talecare,"NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,,,,,,,,,,,India,,,,,,,,,,,FALSE,,,,,,,
Moendichery (),NR_75,NR_75,Moendichery,NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,,,10.015,76.22,uncertain,Wikidata,https://www.wikidata.org/wiki/Q6449218,"[INFERENCE] The creators of this dataset have not identified which place this is in the present. Based on the early modern map, it was located close to Kuzhuppilly, so the coordinates of Kuzhuppilly have been selected here as an inference for Moendichery.",NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,India,,,,https://www.wikidata.org/wiki/Q6449218,,,,,,,FALSE,,,,,,,
Manapally (Vypin) (),NR_63,NR_63,Manapally (Vypin),NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.,,,,,,,,,,,,,India,,,,,,,,,,,FALSE,,,,,,,
Moothakunnam (),GLOB_910_911,GLOB_910_911,Moothakunnam,GeoNames (GN),https://www.geonames.org/11185888/moothakunnam.html,,,,10.18995,76.20079,certain,GeoNames (GN),https://www.geonames.org/11185888/moothakunnam.html,,,,India,,https://www.geonames.org/11185888/moothakunnam.html,,,,,"In the GLOBALISE dataset, the islands of Muttu and Kunnu are treated as 2 separate entries (GLOB_910 and GLOB_911), because VOC documents referred to them as 2 islands. On the map, however, draws them as one island, with a merged name (Mottoekoene). In present day no islands of these names exist, but there is the populated place at the same location named Mutakunnu or Moothakunnam.","""Cornelis Breekpot, “Memorie overgegeven, door den afgaande Commandeur van Mallabaar Cornelis Breekpot, Aan Den Aankomende Titulair Gouverneur en Directeur Den Ede: Heer Christiaan Lodewijk Senffr [...],” February 1769, 1.04.02. inv. nr. 10296 scan 0439-0647, Nationaal Archief, Den Haag, https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/10296/file/NL-HaNA_1.04.02_10296_0439."", NL-HaNA_4.VEL_882.2 Particuliere Kaart van Een Gedeelte Der Kuste Malabaar of de Strekking Der Riviere van Chettua Tot Coijlang. 882.2 Blad 2.",285|NP,,FALSE,,,,,,,
Madaplathuruth  (),NR_64,NR_64,Madaplathuruth ,Wikidata,https://www.wikidata.org/wiki/Q6726480,,,,10.15,76.2,certain,Wikidata,https://www.wikidata.org/wiki/Q6726480,,,,India,,https://www.geonames.org/11463129/madapilaturutu.html,,https://www.wikidata.org/wiki/Q6726480,,,,,,,FALSE,,,,,,,
